bin,n,passed,pass1,ci_lo,ci_hi
"[0, 0.25)",232,33,0.14224137931034483,0.10310946714286862,0.19302827954813084
"[0.25, 0.5)",9,1,0.1111111111111111,0.019890371327130535,0.4350062147680601
"[0.5, 0.75)",53,4,0.07547169811320754,0.029739073598901808,0.17858722263484245
"[0.75, 1.0]",306,58,0.1895424836601307,0.14958029977743814,0.23720314053528935
